player_name,innings,total_balls,total_runs,total_fours,total_sixes,boundary_pct
Vaibhav Suryavanshi,7,122,252,18,24,85.71
Sunil Narine,15,165,273,26,21,84.25
Andre Russell,18,160,256,20,22,82.81
Philip Salt,13,229,403,48,22,80.4
Abhishek Sharma,13,227,439,46,28,80.18
Ayush Mhatre,7,127,240,31,11,79.17
Mitchell Owen,12,224,452,35,36,78.76
Priyansh Arya,18,299,545,60,31,78.17
Travis Head,12,230,374,50,15,77.54
Kieron Pollard,11,220,383,20,36,77.28
Romario Shepherd,15,135,267,17,23,77.15
Rovman Powell,10,136,246,14,22,76.42
Jitesh Sharma,11,148,261,24,17,75.86
Ryan Rickelton,14,257,388,47,17,74.74
Nitish Rana,11,134,217,27,9,74.65
