player_name,innings,total_runs,avg_runs,strike_rate,batting_index
Nicholas Pooran,27,927,34.33,160.94,1491.89
Sai Sudharsan,14,738,52.71,157.02,1158.82
Suryakumar Yadav,16,717,44.81,167.92,1203.96
Virat Kohli,15,657,43.8,144.71,950.77
Tim David,28,653,23.32,170.94,1116.25
Shubman Gill,14,615,43.93,154.91,952.71
Mitchell Marsh,14,604,43.14,161.93,978.06
Shreyas Iyer,18,604,33.56,175.07,1057.44
Prabhsimran Singh,18,599,33.28,161.89,969.73
Tim Seifert,20,596,29.8,150.13,894.75
Shai Hope,17,594,34.94,125.05,742.81
Yashasvi Jaiswal,14,559,39.93,159.71,892.8
Priyansh Arya,18,545,30.28,182.27,993.39
KL Rahul,13,539,41.46,149.72,807.0
Sherfane Rutherford,25,516,20.64,139.46,719.61
